name,child,youth,adult,senior
British Indian Ocean Territory,888,1910,1022,86
Manchester,15,563,850,3
Islamic Republic of Afghanistan,230,644,129,0
Delhi,208,526,197,35
United States,182,389,365,3
Commonwealth of Australia,208,283,266,0
Paris,31,292,393,1
Russian Federation,103,325,278,1
Town of Italy,15,187,490,0
Europe,58,283,323,7
England,57,219,370,5
Madrid,11,232,348,0
United Kingdom of Great Britain and Northern Ireland,54,249,278,6
Islamic Republic of Pakistan,247,236,95,8
People's Republic of China,186,236,151,2
